sample_id,writer,question,row,line_index,expected_blank,width,height,contrast,blur_var,ink_frac,edge_touch,n_bands,strike_run_frac,crnn_conf,mixed_script_in_decode,blankish,seg_quality,candidate_agreement,easy_score,info_score,recrop_flag,easy_rank,info_rank,recrop_rank
e011_q2_r5__l1,e011,2,5,1,False,1287,63,153.0,821.9,0.08,0.004,1,0.037,0.7691,False,False,0.999,,0.8223,0.4707,False,24,45,
e009_q1_r5__l2,e009,1,5,2,False,1287,64,167.0,861.9,0.1078,0.001,1,0.031,0.7259,False,False,1.0,,0.8075,0.4883,False,25,38,
e012_q2_r4__l1,e012,2,4,1,False,1287,79,115.0,422.4,0.0661,0.003,1,0.04,0.7231,False,False,0.999,,0.8,0.4892,False,26,36,
e010_q2_r4__l1,e010,2,4,1,False,1287,91,91.0,578.2,0.0597,0.004,1,0.019,0.7576,False,False,0.999,,0.782,0.4753,False,27,42,
e008_q2_r1__l1,e008,2,1,1,False,1287,200,188.0,921.6,0.1185,0.003,1,0.04,0.6501,False,False,0.999,,0.7807,0.5184,False,28,30,
e011_q2_r7__l2,e011,2,7,2,False,1287,186,104.0,571.7,0.0558,0.004,1,0.02,0.7056,False,False,0.999,,0.7801,0.4961,False,29,35,
e009_q1_r2__l1,e009,1,2,1,False,1287,71,74.0,502.6,0.0517,0.002,1,0.01,0.8063,False,False,0.999,,0.778,0.456,False,30,52,
e008_q2_r4__l1,e008,2,4,1,False,1287,132,116.0,494.0,0.0581,0.037,1,0.017,0.6598,False,False,0.987,,0.7762,0.5115,False,31,33,
e012_q2_r4__l3,e012,2,4,3,False,1287,42,105.0,543.7,0.0628,0.199,1,0.009,0.7376,False,False,0.93,,0.7755,0.4662,False,32,46,
e009_q2_r1__l2,e009,2,1,2,False,1287,71,82.0,440.4,0.0557,0.002,1,0.014,0.7687,False,False,0.999,,0.7748,0.471,False,33,44,
e009_q1_r1__l1,e009,1,1,1,False,1287,58,109.0,648.7,0.0683,0.001,1,0.012,0.6506,False,False,1.0,,0.7673,0.5184,False,34,31,
e009_q1_r4__l1,e009,1,4,1,False,1287,48,122.0,723.5,0.0776,0.003,1,0.016,0.6107,False,False,0.999,,0.767,0.5342,False,35,26,
e009_q2_r1__l3,e009,2,1,3,False,1287,66,71.0,397.0,0.0514,0.002,1,0.009,0.7581,False,False,0.999,,0.7574,0.4753,False,36,41,
e010_q1_r8__l2,e010,1,8,2,False,1287,84,52.0,514.8,0.0443,0.006,1,0.02,0.8012,False,False,0.998,,0.7484,0.4577,False,37,51,
e008_q2_r5__l1,e008,2,5,1,False,1287,163,125.0,496.6,0.0622,0.0,2,0.019,0.7542,False,False,0.7,,0.7424,0.402,False,38,125,
e009_q2_r5__l2,e009,2,5,2,False,1287,56,85.0,461.1,0.0572,0.001,1,0.015,0.6527,False,False,1.0,,0.7381,0.5175,False,39,32,
e012_q2_r2__l2,e012,2,2,2,False,1287,184,144.0,564.0,0.0826,0.008,3,0.019,0.743,False,False,0.697,,0.7378,0.4058,False,40,121,
e011_q1_r1__l1,e011,1,1,1,False,1287,193,204.0,1427.1,0.1293,0.0,3,0.055,0.7385,False,False,0.7,,0.7369,0.4083,False,41,119,
e007_q1_r3__l2,e007,1,3,2,False,1287,29,154.0,608.4,0.0656,0.248,1,0.013,0.7165,False,False,0.713,,0.7326,0.4204,False,42,100,
e012_q2_r3__l1,e012,2,3,1,False,1287,27,159.0,720.4,0.0946,0.172,1,0.037,0.6974,False,False,0.74,,0.7325,0.4347,False,43,76,
e008_q1_r2__l1,e008,1,2,1,False,1287,251,137.0,930.2,0.0672,0.106,8,0.023,0.7429,False,False,0.663,,0.7292,0.3973,False,44,126,
e010_q2_r7__l1,e010,2,7,1,False,1287,224,128.0,966.1,0.0846,0.047,6,0.027,0.728,False,False,0.684,,0.7292,0.4084,False,45,118,
e009_q2_r5__l3,e009,2,5,3,False,1287,28,99.0,509.0,0.0616,0.2,1,0.009,0.7689,False,False,0.73,,0.7288,0.4036,False,46,123,
e007_q1_r5__l2,e007,1,5,2,False,1287,195,183.0,907.2,0.0926,0.008,4,0.08,0.7134,False,False,0.697,,0.7275,0.4176,False,47,110,
e007_q1_r7__l1,e007,1,7,1,False,1287,113,162.0,834.8,0.078,0.007,2,0.036,0.7131,False,False,0.698,,0.7274,0.4178,False,48,108,
e007_q2_r4__l1,e007,2,4,1,False,1287,201,178.0,990.9,0.0982,0.0,3,0.018,0.7097,False,False,0.7,,0.7269,0.4198,False,49,103,
e011_q1_r6__l2,e011,1,6,2,False,1287,102,164.0,1834.0,0.0815,0.0,5,0.019,0.7098,False,False,0.7,,0.7269,0.4198,False,50,104,
e011_q2_r4__l1,e011,2,4,1,False,1287,154,161.0,797.9,0.0807,0.0,2,0.029,0.7091,False,False,0.7,,0.7267,0.4201,False,51,101,
e011_q1_r8__l2,e011,1,8,2,False,1287,181,195.0,1228.3,0.1125,0.0,3,0.037,0.7073,False,False,0.7,,0.726,0.4208,False,52,99,
e007_q2_r6__l1,e007,2,6,1,False,1287,59,211.0,1857.1,0.174,0.002,1,0.357,0.6001,False,False,0.849,,0.7258,0.501,False,53,34,
e008_q1_r6__l1,e008,1,6,1,False,1287,252,161.0,1837.1,0.0753,0.055,7,0.013,0.7155,False,False,0.681,,0.7241,0.4127,False,54,113,
e012_q2_r7__l1,e012,2,7,1,False,1287,30,118.0,587.4,0.0673,0.216,1,0.015,0.69,False,False,0.724,,0.7236,0.4338,False,55,79,
e012_q2_r3__l2,e012,2,3,2,False,1287,169,144.0,571.2,0.0863,0.002,5,0.03,0.6962,False,False,0.699,,0.722,0.425,False,56,94,
e012_q2_r4__l2,e012,2,4,2,False,1287,68,115.0,432.8,0.0669,0.003,2,0.02,0.714,False,False,0.699,,0.7219,0.4178,False,57,109,
e007_q2_r3__l1,e007,2,3,1,False,1287,30,196.0,1525.3,0.1287,0.239,1,0.013,0.6826,False,False,0.716,,0.7215,0.4347,False,58,75,
e008_q1_r8__l1,e008,1,8,1,False,1287,224,190.0,1949.0,0.1023,0.003,6,0.031,0.6942,False,False,0.699,,0.7212,0.4258,False,59,90,
e008_q2_r2__l2,e008,2,2,2,False,1287,185,164.0,691.4,0.0837,0.004,3,0.034,0.6917,False,False,0.699,,0.7202,0.4267,False,60,88,
e007_q2_r1__l1,e007,2,1,1,False,1287,222,153.0,811.1,0.0712,0.011,3,0.021,0.6929,False,False,0.696,,0.72,0.4256,False,61,91,
e012_q2_r1__l1,e012,2,1,1,False,1287,193,119.0,493.9,0.0675,0.004,4,0.016,0.693,False,False,0.699,,0.7194,0.4262,False,62,89,
e012_q2_r8__l2,e012,2,8,2,False,1287,128,135.0,554.9,0.082,0.002,2,0.02,0.6817,False,False,0.699,,0.7169,0.4308,False,63,84,
e008_q2_r6__l1,e008,2,6,1,False,1287,221,189.0,1223.0,0.1251,0.101,2,0.036,0.7046,False,False,0.665,,0.7162,0.413,False,64,112,
e012_q2_r8__l3,e012,2,8,3,False,1287,73,153.0,768.5,0.0976,0.0,2,0.092,0.6786,False,False,0.7,,0.716,0.4323,False,65,81,
e008_q2_r2__l1,e008,2,2,1,False,1287,29,127.0,999.1,0.0631,0.17,1,0.027,0.6492,False,False,0.74,,0.7158,0.4541,False,66,53,
e011_q1_r2__l2,e011,1,2,2,False,1287,140,142.0,785.8,0.0675,0.004,2,0.034,0.6755,False,False,0.699,,0.7146,0.4332,False,67,80,
e007_q1_r7__l2,e007,1,7,2,False,1287,35,138.0,940.6,0.0655,0.156,1,0.041,0.64,False,False,0.745,,0.7138,0.4591,False,68,50,
e011_q2_r8__l1,e011,2,8,1,False,1287,184,199.0,1262.7,0.1295,0.005,4,0.209,0.6706,False,False,0.698,,0.7127,0.435,False,69,74,
e008_q1_r7__l1,e008,1,7,1,False,1287,212,173.0,1425.5,0.087,0.087,4,0.019,0.6904,False,False,0.67,,0.7125,0.4199,False,70,102,
e012_q1_r7__l2,e012,1,7,2,False,1287,124,121.0,468.1,0.0662,0.0,2,0.056,0.6683,False,False,0.7,,0.7124,0.4364,False,71,72,
e011_q1_r3__l1,e011,1,3,1,False,1287,177,186.0,1176.7,0.1025,0.002,3,0.013,0.6685,False,False,0.699,,0.7123,0.4361,False,72,73,
e012_q1_r1__l2,e012,1,1,2,False,1287,226,136.0,673.5,0.076,0.12,5,0.016,0.698,False,False,0.658,,0.7123,0.414,False,73,111,
e007_q2_r5__l3,e007,2,5,3,False,1287,33,219.0,2490.4,0.215,0.473,1,0.226,0.7119,False,False,0.634,,0.7113,0.4026,False,74,124,
e009_q2_r2__l1,e009,2,2,1,False,1287,51,111.0,617.9,0.0721,0.004,1,0.013,0.7688,True,False,0.999,,0.711,0.6208,False,75,10,
e007_q1_r6__l1,e007,1,6,1,False,1287,127,97.0,543.5,0.052,0.005,3,0.016,0.7453,False,False,0.698,,0.7101,0.4051,False,76,122,
e007_q1_r8__l1,e007,1,8,1,False,1287,180,183.0,895.4,0.0921,0.0,3,0.057,0.6582,False,False,0.7,,0.7088,0.4404,False,77,68,
e012_q1_r5__l1,e012,1,5,1,False,1287,251,142.0,1634.9,0.0795,0.267,8,0.023,0.722,False,False,0.607,,0.7078,0.3915,False,78,128,
e008_q1_r1__l1,e008,1,1,1,False,1287,225,167.0,781.0,0.082,0.013,4,0.019,0.6578,False,False,0.695,,0.7076,0.4394,False,79,70,
e007_q1_r3__l1,e007,1,3,1,False,1287,153,147.0,661.3,0.0672,0.0,4,0.078,0.6513,False,False,0.7,,0.7064,0.4432,False,80,63,
e007_q1_r4__l1,e007,1,4,1,False,1287,196,159.0,664.6,0.0713,0.004,5,0.023,0.6516,False,False,0.699,,0.7062,0.4427,False,81,64,
e008_q2_r4__l3,e008,2,4,3,False,1287,31,60.0,468.2,0.0443,0.098,1,0.016,0.8153,False,False,0.766,,0.7053,0.394,False,82,127,
e010_q2_r5__l1,e010,2,5,1,False,1287,136,130.0,821.5,0.0872,0.005,2,0.015,0.6444,False,False,0.698,,0.7036,0.4455,False,83,60,
e009_q2_r6__l1,e009,2,6,1,False,1287,182,95.0,490.3,0.0609,0.002,3,0.019,0.7309,False,False,0.699,,0.7029,0.4112,False,84,116,
e007_q2_r5__l2,e007,2,5,2,False,1287,162,165.0,805.7,0.0839,0.0,3,0.038,0.6391,False,False,0.7,,0.7022,0.4481,False,85,57,
e012_q1_r2__l1,e012,1,2,1,False,1287,252,143.0,899.2,0.0807,0.216,7,0.017,0.6932,False,False,0.624,,0.7022,0.4075,False,86,120,
e009_q1_r5__l1,e009,1,5,1,False,1287,58,143.0,744.0,0.0881,0.002,1,0.033,0.6995,True,False,0.999,,0.6981,0.6487,False,87,7,
e012_q2_r6__l1,e012,2,6,1,False,1287,195,135.0,515.2,0.0798,0.002,3,0.018,0.6274,False,False,0.699,,0.6979,0.4526,False,88,55,
e008_q1_r3__l1,e008,1,3,1,False,1287,250,168.0,1576.6,0.0857,0.142,7,0.04,0.6586,False,False,0.65,,0.6966,0.4278,False,89,86,
e007_q1_r2__l1,e007,1,2,1,False,1287,146,94.0,599.2,0.0517,0.0,4,0.033,0.7143,False,False,0.7,,0.696,0.418,False,90,107,
e010_q1_r4__l1,e010,1,4,1,False,1287,170,90.0,691.0,0.0596,0.006,2,0.016,0.7289,False,False,0.698,,0.6956,0.4116,False,91,114,
e009_q1_r3__l1,e009,1,3,1,False,1287,67,103.0,612.9,0.0632,0.0,2,0.041,0.6805,False,False,0.7,,0.6954,0.4315,False,92,83,
e009_q2_r8__l1,e009,2,8,1,False,1287,125,112.0,568.6,0.0697,0.006,2,0.015,0.6494,False,False,0.698,,0.6952,0.4434,False,93,62,
e012_q2_r2__l1,e012,2,2,1,False,1287,33,82.0,847.7,0.0511,0.068,1,0.029,0.7004,False,False,0.776,,0.6952,0.4426,False,94,66,
e011_q1_r2__l1,e011,1,2,1,False,1287,34,179.0,1424.8,0.0811,0.17,1,0.027,0.5901,False,False,0.74,,0.6951,0.4778,False,95,39,
e008_q2_r7__l1,e008,2,7,1,False,1287,202,181.0,1187.6,0.1137,0.249,3,0.033,0.6809,False,False,0.613,,0.695,0.4096,False,96,117,
e010_q1_r8__l3,e010,1,8,3,False,1287,72,58.0,550.2,0.0469,0.005,1,0.031,0.6243,False,False,0.998,,0.694,0.5285,False,97,28,
e007_q2_r3__l3,e007,2,3,3,False,1287,32,181.0,1047.5,0.0961,0.277,1,0.023,0.6128,False,False,0.703,,0.6937,0.4593,False,98,49,
e010_q2_r1__l1,e010,2,1,1,False,1287,229,129.0,824.7,0.0802,0.083,5,0.037,0.6317,False,False,0.671,,0.6923,0.4438,False,99,61,
e011_q2_r5__l2,e011,2,5,2,False,1287,136,166.0,885.3,0.0812,0.136,2,0.032,0.6448,False,False,0.652,,0.6923,0.4339,False,100,78,
e010_q1_r1__l1,e010,1,1,1,False,1287,134,102.0,744.8,0.0646,0.003,2,0.012,0.6723,False,False,0.699,,0.691,0.4345,False,101,77,
e011_q1_r6__l1,e011,1,6,1,False,1287,119,171.0,1470.4,0.0898,0.217,5,0.022,0.6572,False,False,0.624,,0.6895,0.4218,False,102,98,
e010_q2_r2__l1,e010,2,2,1,False,1287,223,114.0,771.7,0.0706,0.186,6,0.012,0.6703,False,False,0.635,,0.6893,0.4193,False,103,105,
e009_q2_r7__l1,e009,2,7,1,False,1287,129,102.0,529.9,0.0659,0.004,2,0.012,0.6605,False,False,0.699,,0.6868,0.4392,False,104,71,
e008_q2_r4__l2,e008,2,4,2,False,1287,65,50.0,297.1,0.0428,0.002,1,0.023,0.6293,False,False,0.999,,0.6861,0.5268,False,105,29,
e007_q2_r8__l1,e007,2,8,1,False,1287,252,179.0,909.2,0.0903,0.239,6,0.041,0.6462,False,False,0.616,,0.6837,0.4243,False,106,95,
e012_q1_r6__l1,e012,1,6,1,False,1287,235,132.0,1853.7,0.0718,0.032,4,0.021,0.5888,False,False,0.689,,0.6818,0.4654,False,107,47,
e012_q2_r7__l2,e012,2,7,2,False,1287,184,143.0,592.0,0.091,0.0,4,0.016,0.5762,False,False,0.7,,0.6801,0.4732,False,108,43,
e012_q1_r3__l1,e012,1,3,1,False,1287,250,154.0,1162.1,0.093,0.277,13,0.026,0.6398,False,False,0.603,,0.6782,0.4235,False,109,97,
e007_q2_r4__l2,e007,2,4,2,False,1287,28,35.0,502.6,0.0379,0.13,1,0.014,0.8263,False,False,0.754,,0.6751,0.3868,False,110,129,
e009_q2_r5__l1,e009,2,5,1,False,1287,57,101.0,539.7,0.0674,0.004,1,0.014,0.6999,True,False,0.999,,0.6743,0.6484,False,111,8,
e008_q2_r8__l1,e008,2,8,1,False,1287,221,191.0,946.8,0.1275,0.009,1,0.019,0.6313,True,False,0.997,,0.6736,0.6754,False,112,4,
e011_q1_r5__l1,e011,1,5,1,False,1287,250,215.0,1735.5,0.1461,0.211,8,0.221,0.6096,False,False,0.626,,0.6734,0.4414,False,113,67,
e010_q1_r2__l1,e010,1,2,1,False,1287,218,87.0,666.4,0.0567,0.023,3,0.014,0.6745,False,False,0.692,,0.6713,0.4319,False,114,82,
e008_q2_r3__l1,e008,2,3,1,False,1287,215,156.0,607.9,0.0756,0.045,2,0.033,0.5587,False,False,0.684,,0.6701,0.4763,False,115,40,
e012_q1_r4__l1,e012,1,4,1,False,1287,251,145.0,1398.0,0.0871,0.399,11,0.019,0.6433,False,False,0.56,,0.6687,0.4115,False,116,115,
e008_q1_r7__l2,e008,1,7,2,False,1287,36,216.0,4276.7,0.0923,0.055,3,0.225,0.6984,False,False,0.481,,0.6681,0.3695,True,117,130,2
e010_q2_r8__l1,e010,2,8,1,False,1287,252,140.0,1042.6,0.0873,0.255,4,0.216,0.604,False,False,0.611,,0.6676,0.4398,False,118,69,
e007_q1_r4__l2,e007,1,4,2,False,1287,30,74.0,626.0,0.047,0.127,1,0.015,0.6644,False,False,0.756,,0.6674,0.4518,False,119,56,
e008_q1_r5__l1,e008,1,5,1,False,1287,251,170.0,1949.1,0.0842,0.267,7,0.017,0.5843,False,False,0.607,,0.6596,0.4466,False,120,59,
e012_q1_r7__l1,e012,1,7,1,False,1287,38,154.0,4701.4,0.0787,0.166,1,0.108,0.4619,False,False,0.742,,0.6506,0.5294,False,121,27,
e009_q2_r3__l1,e009,2,3,1,False,1287,71,97.0,593.8,0.0642,0.007,1,0.019,0.6393,True,False,0.998,,0.6479,0.6724,False,122,5,
e010_q1_r5__l1,e010,1,5,1,False,1287,141,74.0,576.2,0.0525,0.0,2,0.064,0.6389,False,False,0.7,,0.6446,0.4481,False,123,58,
e009_q1_r8__l1,e009,1,8,1,False,1287,75,58.0,403.7,0.0468,0.002,2,0.009,0.6952,False,False,0.699,,0.6441,0.4254,False,124,92,
e011_q2_r1__l1,e011,2,1,1,False,1287,153,76.0,473.9,0.0479,0.003,2,0.016,0.6268,False,False,0.699,,0.6426,0.4527,False,125,54,
e009_q2_r3__l2,e009,2,3,2,False,1287,48,29.0,301.3,0.0367,0.003,1,0.012,0.5795,False,False,0.999,,0.6423,0.5466,False,126,25,
e010_q1_r7__l2,e010,1,7,2,False,1287,190,55.0,526.1,0.0449,0.004,2,0.014,0.6881,False,False,0.699,,0.6377,0.4281,False,127,85,
e011_q2_r7__l1,e011,2,7,1,False,1287,29,168.0,923.5,0.079,0.202,1,0.02,0.6887,True,False,0.729,,0.6268,0.5855,False,128,16,
e009_q2_r2__l2,e009,2,2,2,False,1287,115,56.0,385.2,0.0456,0.006,2,0.012,0.6512,False,False,0.698,,0.6259,0.4427,False,129,65,
e008_q1_r4__l1,e008,1,4,1,False,1287,251,188.0,2165.3,0.1155,0.131,4,0.026,0.7361,True,False,0.654,,0.6246,0.5478,False,130,24,
e009_q1_r7__l3,e009,1,7,3,False,1287,52,60.0,415.1,0.0472,0.002,1,0.015,0.699,True,False,0.999,,0.623,0.6489,False,131,6,
e012_q2_r8__l1,e012,2,8,1,False,1287,31,147.0,720.9,0.0885,0.232,1,0.019,0.6847,True,False,0.719,,0.6228,0.5845,False,132,17,
e012_q1_r8__l1,e012,1,8,1,False,1287,165,120.0,1400.2,0.0672,0.003,4,0.048,0.6971,True,False,0.699,,0.6222,0.5746,False,133,20,
e011_q1_r7__l2,e011,1,7,2,False,1287,183,190.0,1134.0,0.1049,0.0,4,0.023,0.6866,True,False,0.7,,0.6188,0.5791,False,134,18,
e012_q1_r7__l3,e012,1,7,3,False,1287,49,44.0,3342.5,0.0403,0.06,3,0.094,0.6871,False,False,0.679,,0.6187,0.4236,False,135,96,
e010_q2_r3__l3,e010,2,3,3,False,1287,76,30.0,361.6,0.0367,0.005,3,0.027,0.7127,False,False,0.698,,0.615,0.4182,False,136,106,
e009_q2_r4__l1,e009,2,4,1,False,1287,118,34.0,328.0,0.0378,0.002,3,0.01,0.6952,False,False,0.699,,0.6141,0.4254,False,137,93,
e012_q2_r5__l1,e012,2,5,1,False,1287,203,106.0,414.5,0.0626,0.006,4,0.038,0.7054,True,False,0.698,,0.6073,0.571,False,138,21,
e010_q1_r3__l1,e010,1,3,1,False,1287,201,38.0,468.5,0.04,0.068,3,0.012,0.6768,False,False,0.676,,0.6069,0.427,False,139,87,
e007_q2_r2__l1,e007,2,2,1,False,1287,224,181.0,1026.2,0.0905,0.101,4,0.075,0.6748,True,False,0.665,,0.6058,0.5749,False,140,19,
e011_q2_r2__l1,e011,2,2,1,False,1287,145,134.0,675.9,0.0649,0.004,2,0.012,0.6467,True,False,0.699,,0.6045,0.5947,False,141,14,
e010_q2_r6__l2,e010,2,6,2,False,1287,29,52.0,472.9,0.0446,0.112,2,0.018,0.7734,False,False,0.461,,0.6044,0.3345,True,142,131,1
e011_q2_r3__l1,e011,2,3,1,False,1287,165,119.0,721.8,0.0628,0.008,3,0.017,0.6485,True,False,0.697,,0.6035,0.5936,False,143,15,
e009_q1_r3__l2,e009,1,3,2,False,1287,38,25.0,357.1,0.035,0.009,1,0.012,0.5981,False,False,0.797,,0.5933,0.4887,False,144,37,
e009_q1_r6__l1,e009,1,6,1,False,1287,185,136.0,623.4,0.0749,0.009,2,0.03,0.5803,True,False,0.697,,0.5808,0.6208,False,145,9,
e012_q1_r8__l2,e012,1,8,2,False,1287,33,150.0,5420.2,0.0604,0.005,1,0.124,0.5059,True,False,0.798,,0.5801,0.6759,False,146,3,
e011_q1_r4__l1,e011,1,4,1,False,1287,196,161.0,1042.9,0.0759,0.291,6,0.024,0.6444,True,False,0.598,,0.5786,0.5705,False,147,22,
e007_q2_r7__l1,e007,2,7,1,False,1287,226,191.0,922.6,0.1057,0.162,5,0.048,0.5924,True,False,0.643,,0.5716,0.6026,False,148,13,
e009_q1_r7__l2,e009,1,7,2,False,1287,66,69.0,472.7,0.0507,0.005,2,0.011,0.7276,True,False,0.698,,0.5689,0.5622,False,149,23,
e011_q2_r6__l1,e011,2,6,1,False,1287,225,187.0,1088.8,0.1035,0.12,5,0.044,0.5712,True,False,0.658,,0.5679,0.6147,False,150,11,
e010_q1_r6__l1,e010,1,6,1,False,1287,106,28.0,423.7,0.0357,0.003,1,0.015,0.5928,True,False,0.999,,0.5457,0.6913,False,151,1,
e009_q1_r8__l2,e009,1,8,2,False,1287,48,20.0,290.7,0.0332,0.005,1,0.016,0.6192,True,False,0.998,,0.5448,0.6806,False,152,2,
e011_q1_r7__l1,e011,1,7,1,False,1287,41,31.0,2850.1,0.0407,0.041,4,0.018,0.5919,True,False,0.686,,0.4708,0.6134,False,153,12,
