sample_id,config,writer,has_span,cer,wer,exact,edit_class,ref_words,hyp_words,subs,dels,ins,agreement_ab,confidence,latency_s,error,candidate
e004_q2_r5__l2,qwen_line_cell,e004,False,1.0,2.0,False,major,1,2,1,0,1,0.5,,2.58,,0'7/28
e004_q2_r5__l2,crnn_overfit,e004,False,0.6667,2.0,False,major,1,2,1,0,1,0.5,0.8346,,,הה ים
e004_q2_r6__l1,qwen_line,e004,False,0.8,1.0,False,major,7,3,3,4,0,0.6667,,3.51,,כְּשֵׁרִים לְמַעֲלֵי הָאֱלֹהִים
e004_q2_r6__l1,qwen_line_cell,e004,False,0.8,1.0,False,major,7,3,3,4,0,0.6667,,5.59,,כְּסִיָּה לְמַעֲלֵי הַשְׁאָרִים
e004_q2_r6__l1,crnn_overfit,e004,False,0.7,1.0,False,major,7,7,7,0,0,0.6667,0.7481,,,ר וה מ  ה הנ  ו מהים
e004_q2_r6__l2,qwen_line,e004,True,0.7593,1.0,False,major,13,12,12,1,0,0.0,,3.38,,"השאלה היא: (1.5) x 23.6, ו- (18.16 913.28)"
e004_q2_r6__l2,qwen_line_cell,e004,True,1.0,1.0,False,major,13,0,0,13,0,0.0,,3.44,JSONDecodeError: Unterminated string starting at: line 1 column 19 (char 18),
e004_q2_r6__l2,crnn_overfit,e004,True,0.8333,1.0,False,major,13,13,13,0,0,0.0,0.6669,,,ם הגודרם הגבהים בהרים בה(ם הים הכים כל  ים היובהיום בההגו ים
e004_q2_r7__l2,qwen_line,e004,False,0.7451,1.0,False,major,9,7,7,2,0,0.125,,4.94,,"אַדִּיק, אֲנָשִׁים בְּרֵעִי, אֲנָשִׁים בְּרֵעִי, אֲנָשִׁים בְּרֵעִי"
e004_q2_r7__l2,qwen_line_cell,e004,False,0.8627,1.2222,False,major,9,11,9,0,2,0.125,,5.03,,"e'cip' e'pied, ay unipres sivl e'dig n'ied,"
e004_q2_r7__l2,crnn_overfit,e004,False,0.7255,1.0,False,major,9,8,8,1,0,0.125,0.6373,,,ריו ה ים בל מות עהכת ירהדהםההים ים
e004_q2_r8__l1,qwen_line,e004,False,1.12,1.0,False,major,5,5,5,0,0,0.4667,,3.0,,ski Echo 128 πλανητής απόσταση
e004_q2_r8__l1,qwen_line_cell,e004,False,1.0,1.6,False,major,5,8,5,0,3,0.4667,,5.05,,ski Echo 128 57.5-913 20'0w3
e004_q2_r8__l1,crnn_overfit,e004,False,0.8,1.2,False,major,5,6,5,0,1,0.4667,0.6355,,,מ מ ם ו  עתד שתיכים
e004_q2_r8__l2,qwen_line,e004,False,0.8696,1.0,False,major,4,4,4,0,0,0.2381,,2.66,,150 אינטראקציה עם כוח
e004_q2_r8__l2,qwen_line_cell,e004,False,0.913,1.25,False,major,4,5,4,0,1,0.2381,,2.95,,"150 27560,38 9124 25"
e004_q2_r8__l2,crnn_overfit,e004,False,0.7391,1.0,False,major,4,3,3,1,0,0.2381,0.7618,,,הiם ומ  הים
e005_q1_r1__l1,qwen_line,e005,False,0.6977,1.125,False,major,8,9,8,0,1,0.0789,,2.94,,7810 2139 (T motion blur 6E cccc םינש ג] }
e005_q1_r1__l1,qwen_line_cell,e005,False,0.7907,1.0,False,major,8,5,5,3,0,0.0789,,6.41,,רְגִילָה קַשְׁרוֹת הַמְּסֻוּרָה מְעַטְּרֵי תְּפִלּוֹת
e005_q1_r1__l1,crnn_overfit,e005,False,0.8372,1.0,False,major,8,6,6,2,0,0.0789,0.682,,,הנים ל גבוים נוכר ים כלהנהים
e005_q1_r1__l2,qwen_line,e005,True,0.7544,1.0,False,major,14,14,14,0,0,0.619,,4.12,,y- a (15) x ק'בּר (16 מ.כ.) אַפְרִיָהּ (13) שְׁלֹמֹה (18 07)
e005_q1_r1__l2,qwen_line_cell,e005,True,0.7368,1.0,False,major,14,14,14,0,0,0.619,,4.53,,y- א (15) x ק'בּר (16 מ.כ.) כְּלָה אֲפִילוּ הַמְּסֻקֵּר (28 07)
e005_q1_r1__l2,crnn_overfit,e005,True,0.8421,1.0,False,major,14,4,4,10,0,0.619,0.7749,,,ים מהר ים מים
e005_q1_r2__l1,qwen_line,e005,False,0.8085,1.0,False,major,8,6,6,2,0,0.2727,,4.05,,כְּלִי אֲשֶׁר בָּא לְהַעֲמִיד עַל הַסְּפָרִים
e005_q1_r2__l1,qwen_line_cell,e005,False,0.7234,1.0,False,major,8,6,6,2,0,0.2727,,6.89,,כְּרִיתָה מַלְכוּת אֲשֶׁר הֵבִיאוּ לְפָנֵי הַמְּדִינָה
e005_q1_r2__l1,crnn_overfit,e005,False,0.8936,1.0,False,major,8,2,2,6,0,0.2727,0.7001,,,הל כהיםH
e005_q1_r2__l2,qwen_line,e005,True,0.8625,1.0,False,major,17,12,12,5,0,0.4,,3.58,,"136 d (28 sc acc) 5' (10-12) ~ (10-12) - 20/10,17}"
e005_q1_r2__l2,qwen_line_cell,e005,True,0.8,1.4118,False,major,17,24,17,0,7,0.4,,4.38,,"136 d (2,5 8c ac(0.7) 2.5 8c ac(0.7) - 2.5 8c ac(0.7) = n) - o'λ)}"
e005_q1_r2__l2,crnn_overfit,e005,True,0.825,1.0,False,major,17,6,6,11,0,0.4,0.7413,,,ההההמ דם יל אל רש  s
e005_q1_r3__l2,qwen_line,e005,False,1.0,1.1,False,major,10,11,10,0,1,0.3,,5.8,,לְהַשְׁמִיעַ אֶת הַכֹּל בְּחָזֵרָה גְּדוֹלָה (כְּמוֹ עֲדַיִן) high-frequency (בְּמַעֲמַר הַשְׁמֵשׁ)
e005_q1_r3__l2,qwen_line_cell,e005,False,0.6667,1.0,False,major,10,6,6,4,0,0.3,,4.84,,C O P Y high-frequency
e005_q1_r3__l2,crnn_overfit,e005,False,0.9167,1.0,False,major,10,3,3,7,0,0.3,0.7505,,,ה מ עהים
e005_q1_r3__l3,qwen_line,e005,False,0.8113,1.3333,False,major,12,19,9,0,7,0.4516,,3.67,,"n write 15(1) |C| Cram (Chirite) x,y,z /261 7,4,2 (c) (x,y) - n (Mw)"
e005_q1_r3__l3,qwen_line_cell,e005,False,0.9623,1.6667,False,major,12,20,12,0,8,0.4516,,4.55,,"n MTC 15(1) >|C | rKMC (11115c. 3.4.2 /261 C71L (UvM) -n (1W nH 7,1.2)}"
e005_q1_r3__l3,crnn_overfit,e005,False,0.8491,1.0,False,major,12,5,5,7,0,0.4516,0.7376,,,הי ים הים הים יו
e005_q1_r4__l1,qwen_line,e005,True,0.8036,1.0,False,major,11,4,4,7,0,0.3514,,5.11,,לְמַעֲרֵבּוֹתָהּ הַשְׁכִּילָהּ לְמַעֲרֵבּוֹתָהּ הַשְׁכִּילָהּ
e005_q1_r4__l1,qwen_line_cell,e005,True,0.7679,1.0,False,major,11,6,6,5,0,0.3514,,7.05,,לְמַעַרְכֵי הָאֲרוֹן הַקּוֹדֶשׁ לְמַעַרְכֵי הָאֲרוֹן הַקּוֹדֶשׁ
e005_q1_r4__l1,crnn_overfit,e005,True,0.875,1.0,False,major,11,5,5,6,0,0.3514,0.648,,,נ מ הiE מ ים
e005_q1_r4__l2,qwen_line,e005,False,0.9,1.0,False,major,10,7,7,3,0,0.5,,3.14,,83 C vnitc 18cl circe (Cvntc) (Cvntc) [?]
e005_q1_r4__l2,qwen_line_cell,e005,False,0.8667,1.0,False,major,10,9,9,1,0,0.5,,3.2,,83 C ronic 18cl cly's (C2H5)2CH-CH3
e005_q1_r4__l2,crnn_overfit,e005,False,0.8333,1.0,False,major,10,5,5,5,0,0.5,0.5791,,,ים הפור הך ב צ
e005_q1_r5__l2,qwen_line,e005,False,0.8537,1.5,False,major,8,13,7,0,5,0.5111,,4.83,,7'32 מ (בְּרֵעַ) 230N אֲשֶׁר x 7'37 -5(כָּלִיּוֹת פְּסַח לְהַבְדִּיל)
e005_q1_r5__l2,qwen_line_cell,e005,False,0.9024,1.875,False,major,8,16,7,0,8,0.5111,,5.58,,7'32 מ (דפ) 330N אס x 7'3) -5(1'41.1-2 סב 10017
e005_q1_r5__l2,crnn_overfit,e005,False,0.878,1.0,False,major,8,3,3,5,0,0.5111,0.7949,,,ים מ  הנהHig
e005_q1_r5__l3,qwen_line,e005,False,0.68,0.9091,False,major,11,6,5,5,0,0.4194,,4.75,,x וּשְׁכֵלָה (בְּרִית) כְּתַבְּרִיָּה - בְּרִית הַמְּדִינָה
e005_q1_r5__l3,qwen_line_cell,e005,False,0.76,0.9091,False,major,11,6,5,5,0,0.4194,,4.42,,x וּשְׁכֵּם לַחֲמָתִי (בְּרִית) כְּלָה הַנְּסָפִים
e005_q1_r5__l3,crnn_overfit,e005,False,0.74,1.0,False,major,11,5,5,6,0,0.4194,0.6964,,,הירהם הים ים מוה לים
e005_q1_r6__l1,qwen_line,e005,False,0.8542,1.0,False,major,10,8,8,2,0,0.7241,,3.56,,"כְּלָבִי 2,110.015. (א) 2,110.015."
e005_q1_r6__l1,qwen_line_cell,e005,False,0.8542,1.0,False,major,10,8,8,2,0,0.7241,,5.84,,כְּלָבִי 2.1/10.15. כְּלָבִי 2.1/10.15.
e005_q1_r6__l1,crnn_overfit,e005,False,0.8333,1.0,False,major,10,4,4,6,0,0.7241,0.7679,,,הה הדים מ הנהההים
e005_q1_r6__l2,qwen_line,e005,False,0.7714,1.0,False,major,8,8,8,0,0,0.2424,,3.26,,1861 תחילת המאה ה-19 - 15 במרץ 1861
e005_q1_r6__l2,qwen_line_cell,e005,False,0.7143,1.0,False,major,8,5,5,3,0,0.2424,,4.01,,18C / וְחַיִּים תְּשׁוּבָה הַכְּתֻבָּה
e005_q1_r6__l2,crnn_overfit,e005,False,0.8286,1.0,False,major,8,2,2,6,0,0.2424,0.7739,,,ם מופההים
e005_q1_r7__l1,qwen_line,e005,True,0.7551,1.0,False,major,10,5,5,5,0,0.5238,,2.97,,היקרים כהן עוזר 700 ק
e005_q1_r7__l1,qwen_line_cell,e005,True,0.7755,1.0,False,major,10,6,6,4,0,0.5238,,5.03,,הקרט גה.ר.וֹת 400 ק
e005_q1_r7__l1,crnn_overfit,e005,True,0.7959,1.0,False,major,10,4,4,6,0,0.5238,0.6807,,,הדם יםתם  כהההיםה כפנים
e005_q1_r7__l2,qwen_line,e005,False,0.9048,1.5,False,major,8,12,8,0,4,0.0909,,2.94,,"Hence the cyclic group C_n = {a^k | k=0,1,...,n-1}"
e005_q1_r7__l2,qwen_line_cell,e005,False,0.7381,1.0,False,major,8,5,5,3,0,0.0909,,4.45,,הַמְּסָרִים הַכְּתֻבִּים בְּשֵׁם כְּלָלִי (אֲפִלּוּ)
e005_q1_r7__l2,crnn_overfit,e005,False,0.7857,1.0,False,major,8,4,4,4,0,0.0909,0.8158,,,הנהנמנ ר ת ים
e005_q1_r8__l2,qwen_line,e005,False,0.8478,1.2,False,major,10,12,10,0,2,0.3333,,4.95,,"A (1.81 ק""מ/ש' 132מ') ? / כְּלָבִי, אֲפַרְסְתֵּי, עַדְנִי , פְּרִי , הַשְׁאָר"
e005_q1_r8__l2,qwen_line_cell,e005,False,1.2174,1.4,False,major,10,14,10,0,4,0.3333,,9.42,,"A 1081 קָרְבַּן מִשְׁתֵּה, עֲדַיִם, אֶלְפִּים, פְּרִיִּים, כְּרָבִים, לְחֹמֶשׁ, עֲדַיִם, אֶלְפִּים, פְּרִיִּים, כְּרָבִים, לְחֹמֶשׁ"
e005_q1_r8__l2,crnn_overfit,e005,False,0.7609,1.0,False,major,10,9,9,1,0,0.3333,0.6839,,,הל כ ניו לול מת ד רר ים נים
e005_q1_r8__l3,qwen_line,e005,False,0.6889,1.0,False,major,9,8,8,1,0,0.5789,,4.98,,"ב, וְחַיִּים לְרֹאשׁ הַמָּגֵן אֲנִי מְדַוֵּר בְּרַעֲמָה גְּדוֹלָה"
e005_q1_r8__l3,qwen_line_cell,e005,False,0.7111,1.0,False,major,9,8,8,1,0,0.5789,,5.26,,"ב, וְחַיִּים לְרֹאשׁ הַמָּגֵן גְּרָם אֲנִי מִזְרָחַי בְּהַקְרָבָה"
e005_q1_r8__l3,crnn_overfit,e005,False,0.8222,1.0,False,major,9,4,4,5,0,0.5789,0.7108,,,הל הנ ר ים
e005_q2_r1__l1,qwen_line,e005,False,0.8542,1.375,False,major,8,11,8,0,3,0.6591,,3.3,,n104 7'1076 '727 B103 threshold) ? (1r  א נ'712(17)
e005_q2_r1__l1,qwen_line_cell,e005,False,0.8542,1.125,False,major,8,9,8,0,1,0.6591,,5.36,,"n/154 7'1076 '727 B,03 thresholding) ?IR ١٥٦٧٠٤"
e005_q2_r1__l1,crnn_overfit,e005,False,0.9375,1.0,False,major,8,1,1,7,0,0.6591,0.814,,,iוים
e005_q2_r1__l2,qwen_line,e005,True,0.8197,0.9286,False,major,14,6,5,8,0,0.12,,4.12,,הכְּרָפִיַּת הַמְּסֻוֹרֶת אֲשֶׁר בְּהֵם E (c)
e005_q2_r1__l2,qwen_line_cell,e005,True,0.9672,0.9286,False,major,14,2,1,12,0,0.12,,2.42,,E [c]
e005_q2_r1__l2,crnn_overfit,e005,True,0.918,1.0,False,major,14,2,2,12,0,0.12,0.7835,,,מל    ים
e005_q2_r2__l2,qwen_line,e005,True,0.9184,1.625,False,major,8,13,8,0,5,0.8868,,3.44,,"n > 100 -8807 72d.8 5,07 threshholding 7c/8 m ~'713810.7"
e005_q2_r2__l2,qwen_line_cell,e005,True,0.9184,1.5,False,major,8,12,8,0,4,0.8868,,5.39,,"n > 100 ~8807 7ad.8 5,07 thresholding 7c/8 m~'7/28/07"
e005_q2_r2__l2,crnn_overfit,e005,True,0.8571,1.0,False,major,8,5,5,3,0,0.8868,0.7162,,,ד של ויםים בכ ים
e005_q2_r2__l3,qwen_line,e005,True,0.8333,1.0,False,major,18,13,13,5,0,0.2391,,3.83,,130 2018 קפוי 7300 ל- 3000 (כ- 6) - [?] / 151 || 1'011c2
e005_q2_r2__l3,qwen_line_cell,e005,True,0.9479,1.0,False,major,18,4,4,14,0,0.2391,,2.76,,135 | 11'0112
e005_q2_r2__l3,crnn_overfit,e005,True,0.7917,1.0,False,major,18,13,13,5,0,0.2391,0.671,,,הרששכלר 5כות ריריא המ ובה המ הרה הו שכ שבתרים בהר הרשעטוש היוים
e005_q2_r3__l2,qwen_line,e005,False,0.96,2.0,False,major,5,10,5,0,5,0.1923,,3.16,,(0.755) [?] 7~721 (6'7) > S? 3716.8
e005_q2_r3__l2,qwen_line_cell,e005,False,0.84,0.8,False,major,5,2,1,3,0,0.1923,,4.39,,(0.755)
e005_q2_r3__l2,crnn_overfit,e005,False,0.8,1.0,False,major,5,2,2,3,0,0.1923,0.7026,,,ההמהרג ים
e005_q2_r4__l2,qwen_line,e005,True,0.6351,1.0,False,major,13,11,11,2,0,0.1613,,5.41,,"שְׁלַח לְרָאֵל, optimal quantization אֲנִי רֹצֶה לְקַבֵּל הַמְּסֻוּרָה בְּשֵׁם שְׁלַח לְרָאֵל"
e005_q2_r4__l2,qwen_line_cell,e005,True,0.8649,1.0,False,major,13,9,9,4,0,0.1613,,4.98,,"x / 2^s uide cicle 80, 1751k, v s"
e005_q2_r4__l2,crnn_overfit,e005,True,0.8919,1.0,False,major,13,5,5,8,0,0.1613,0.7155,,,נ שר ים   מ Hig
e005_q2_r4__l3,qwen_line,e005,True,0.8421,1.1818,False,major,11,13,11,0,2,0.5517,,3.45,,"gray-levels (0,1,2) 8'57x 8x 624 111c (2.3) 111111"
e005_q2_r4__l3,qwen_line_cell,e005,True,0.8947,1.2727,False,major,11,14,11,0,3,0.5517,,4.2,,"gray-levels p'81,27) f'57x ax 521c n116 (2011.2) 57לְוֹנִיָּה קְקַרְת"
e005_q2_r4__l3,crnn_overfit,e005,True,0.807,1.0,False,major,11,5,5,6,0,0.5517,0.6968,,,רם הר הוים ר הרהים
e005_q2_r5__l2,qwen_line,e005,False,0.7451,1.2222,False,major,9,11,9,0,2,0.2174,,5.3,,קְרָבִי הַשְׁכֵּמָה (א) 9 דֶּרֶךְ עֲבוֹרִים אַף עַל-פִּי שְׂעָרִים הַשְׁכֵּמָה
e005_q2_r5__l2,qwen_line_cell,e005,False,0.7451,0.8889,False,major,9,6,5,3,0,0.2174,,4.76,,"קווים עיקריים, אינטגרציה של מודלים שונים"
e005_q2_r5__l2,crnn_overfit,e005,False,0.7843,1.0,False,major,9,7,7,2,0,0.2174,0.6355,,,נ מ מ בל ם מ מהים
e005_q2_r5__l3,qwen_line,e005,False,0.8889,1.5,False,major,8,12,8,0,4,0.3333,,4.5,,ג'ייל 1101 | ג'ייל 1851 | לְמַעֲרָכִים בְּשֵׁם הַמֶּלֶךְ אֱלֹהִים
e005_q2_r5__l3,qwen_line_cell,e005,False,0.8222,1.0,False,major,8,6,6,2,0,0.3333,,4.94,,כְּלִילוֹן הַמָּרְחָבִים אֲשֶׁר בְּהֵם לְמַעַרְכֵי הַמָּרְחָבִים
e005_q2_r5__l3,crnn_overfit,e005,False,0.8889,1.0,False,major,8,3,3,5,0,0.3333,0.7486,,,ם מכ   היHi
e005_q2_r6__l2,qwen_line,e005,False,0.7449,1.0,False,major,17,15,15,2,0,0.1351,,7.44,,רְגָשׁוּת אַף עִמּוֹ כְּלָלָה הַכְּסֵפִי בְּרַחֲבַת הַשְׁעָרִים אֶל עַמּוֹ כְּלָלָה הַכְּסֵפִי בְּרַחֲבַת הַשְׁעָרִים אֶל עַמּוֹ
e005_q2_r6__l2,qwen_line_cell,e005,False,0.898,1.0,False,major,17,3,3,14,0,0.1351,,5.23,,סְפָרִים בְּיַד הַמֶּלֶךְ
e005_q2_r6__l2,crnn_overfit,e005,False,0.7143,1.0,False,major,17,11,11,6,0,0.1351,0.6027,,,נקלת הת הים ים ים יים נ במים הרהנקיםרכר (ר(כא)
e005_q2_r7__l2,qwen_line,e005,False,0.8723,1.1,False,major,10,11,10,0,1,0.4773,,3.3,,"gray-level 32 150 80, as cuvis 12c_8 .)s Cun cs"
e005_q2_r7__l2,qwen_line_cell,e005,False,0.7872,1.0,False,major,10,10,10,0,0,0.4773,,4.91,,"gray-level 50 using s(1, 8'32) as curve"
e005_q2_r7__l2,crnn_overfit,e005,False,0.8298,1.0,False,major,10,5,5,5,0,0.4773,0.6546,,,מל ר ו למ HiE
e005_q2_r7__l3,qwen_line,e005,True,0.75,0.9,False,major,10,9,8,1,0,0.5676,,4.24,,2-7 1981 גמר (פ'ג) .רְשַׁעְיִם : אֲבָרֵקְתִי כְּלִי
e005_q2_r7__l3,qwen_line_cell,e005,True,0.7273,1.0,False,major,10,10,10,0,0,0.5676,,4.3,,2-7 1881 גמר (פ'ג') .בְּרַחֲמֵי הָאֱלֹהִים אֶת הַכְּסֻף
e005_q2_r7__l3,crnn_overfit,e005,True,0.8864,1.0,False,major,10,2,2,8,0,0.5676,0.7714,,,מהר ים
e005_q2_r8__l1,qwen_line,e005,False,0.8571,1.0,False,major,10,10,10,0,0,0.2564,,3.58,,018 020 030 040 050 060 070 080 090 100
e005_q2_r8__l1,qwen_line_cell,e005,False,0.8776,1.0,False,major,10,7,7,3,0,0.2564,,4.78,,"0.15 x 10^4 = 1,500"
e005_q2_r8__l1,crnn_overfit,e005,False,0.8776,1.0,False,major,10,3,3,7,0,0.2564,0.6535,,,יו שמ  הEהHig
e005_q2_r8__l2,qwen_line,e005,False,0.7568,1.0,False,major,7,8,6,0,1,0.2812,,3.44,,"31014 X 15,217 x 0.081326 (הַמְסָרִים}"
e005_q2_r8__l2,qwen_line_cell,e005,False,0.8919,0.8571,False,major,7,4,3,3,0,0.2812,,2.56,,"x 15,217 ש"
e005_q2_r8__l2,crnn_overfit,e005,False,0.8919,1.0,False,major,7,2,2,5,0,0.2812,0.7205,,,ה הניiם
e006_q1_r1__l1,qwen_line,e006,True,1.0,1.0,False,major,21,0,0,21,0,0.0,,4.99,JSONDecodeError: Unterminated string starting at: line 1 column 19 (char 18),
e006_q1_r1__l1,qwen_line_cell,e006,True,0.9018,0.9524,False,major,21,8,7,13,0,0.0,,6.55,,اِلْمَوْجُودَةِ فِي الْمَرْحَبِنَةِ (Echo ١٣٠) ! اِلْمَوْجُودَةِ فِي الْمَرْحَبِنَةِ
e006_q1_r1__l1,crnn_overfit,e006,True,0.7054,1.0,False,major,21,18,18,3,0,0.0,0.6645,,,העלר שו הלעו ול מולר בכל הוא בהרמו הכל רא  הוו -כאובכ יא  י שוב בו טר בים
e006_q1_r2__l1,qwen_line,e006,False,0.7647,1.0,False,major,10,10,10,0,0,0.087,,2.86,,מ'ג'ר א'ג'י 5.25 ידוע כ
e006_q1_r2__l1,qwen_line_cell,e006,False,0.8039,1.0,False,major,10,4,4,6,0,0.087,,4.42,,high pass s\footnote{c}
e006_q1_r2__l1,crnn_overfit,e006,False,0.7843,1.0,False,major,10,8,8,2,0,0.087,0.689,,,ה טו שו בר וורא ביר יהםגהרהרה הים
e006_q1_r3__l1,qwen_line,e006,False,0.7714,1.0,False,major,7,5,5,2,0,0.3103,,3.62,,D. קְרָה תַּחֲזִיק בְּמַעְרֶק הַכֹּל
e006_q1_r3__l1,qwen_line_cell,e006,False,0.6857,1.0,False,major,7,6,6,1,0,0.3103,,6.17,,קְרָבִי תַעֲרֶה רַחַמִים מֵאֹרְכֵי עַדְוּרִי! דְּ
e006_q1_r3__l1,crnn_overfit,e006,False,0.7714,1.0,False,major,7,5,5,2,0,0.3103,0.5784,,,היו הב הS וש ים
e006_q1_r4__l1,qwen_line,e006,True,0.8704,1.0,False,major,11,3,3,8,0,0.0385,,2.44,,האם זה נורמלי?
